timestamp,trace_id,name,total_cost_usd,latency_s,human_score
2026-09-18T08:44:27.370Z,87ff1762-7bb5-41f9-bece-5bc64e895e17,OpenAI.chat,0.00014475,4.8,
2026-09-18T09:14:10.957Z,1a98d8d5-6165-48d1-9981-5f84f1570766,OpenAI.chat,0.0001605,4.273,
2026-09-18T09:16:06.923Z,ac3e0794-3933-4a11-b3fc-4601405a6f7b,OpenAI.chat,0.00013425,4.043,
2026-09-18T09:18:27.265Z,a4af4cbe-0fb9-44c3-bfe6-e3aa2f1f6be6,OpenAI.chat,0.00000675,1.992,
2026-09-18T09:19:00.043Z,7d1ef0af-a043-4b72-8b67-4417fd610924,OpenAI.chat,0.00000675,2.872,
2026-09-18T09:20:00.346Z,92702055-f219-48de-854f-e58bb3dc595a,OpenAI.chat,0.000153,3.713,1
2026-09-18T09:20:44.575Z,360f7301-cb7a-4af8-9036-ca4f5e1a29d4,OpenAI.chat,0.00020625,4.719,0
2026-09-18T09:21:21.190Z,0a2edd88-b352-4c04-9763-0a8fd030be84,OpenAI.chat,0,0,
2026-09-18T09:23:43.061Z,b9bd241e-e1fb-43a3-ad1b-e967bb1cf040,OpenAI.chat,0.00000675,1.811,
2026-09-18T09:24:04.998Z,a058003a-9417-4d99-bdea-cac10ab53327,OpenAI.chat,0.00000675,2.446,
2026-09-18T09:24:23.630Z,aad6070b-be02-4972-9cdc-ae9e46f4468a,OpenAI.chat,0.00017175,8.578,
